"ID","ISDELETED","NAME","SETUPOWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","TEXT_AREA_ID__C","MINIMUM_CHARS__C","PAGE_NAME__C","IS_ACTIVE__C","ERROR"
"a0E63000000EMXUEA4","false","Notes","00D630000008mytEAA","2016-06-06T11:16:00.000Z","00563000000JZfLAAW","2016-06-06T11:22:09.000Z","00563000000JZfLAAW","2016-06-06T11:22:09.000Z","notesTextarea","150.0","Interview_View","true","field integrity exception: SetupOwnerId (id value of incorrect type)"
"a0E63000000EMXZEA4","false","Opportunities","00D630000008mytEAA","2016-06-06T11:16:15.000Z","00563000000JZfLAAW","2016-06-06T11:22:21.000Z","00563000000JZfLAAW","2016-06-06T11:22:21.000Z","opportunitiesTextarea","150.0","Interview_View","true","field integrity exception: unknown (id value of incorrect type)"
"a0E63000000EMXeEAO","false","Strengths","00D630000008mytEAA","2016-06-06T11:17:23.000Z","00563000000JZfLAAW","2016-06-06T11:22:26.000Z","00563000000JZfLAAW","2016-06-06T11:22:26.000Z","strengthsTextarea","50.0","Interview_View","true","field integrity exception: unknown (id value of incorrect type)"
